<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.12.12	09:00:00	77531	77982	77469	77834	48230	14143	1
2013.12.12	10:00:00	77826	78106	77756	77826	89290	24654	1
2013.12.12	11:00:00	77826	77888	77446	77857	116480	29381	1
2013.12.12	12:00:00	77865	78028	77570	77625	98670	26368	1
2013.12.12	13:00:00	77625	77725	77330	77531	90810	25854	1
2013.12.12	14:00:00	77524	77788	77431	77578	76390	20152	1
2013.12.12	15:00:00	77586	77780	77469	77694	75380	19820	1
2013.12.12	16:00:00	77694	77865	77640	77826	67380	18606	1
2013.12.12	17:00:00	77819	77997	77780	77997	50600	14640	1
2013.12.13	09:00:00	78121	78377	78013	78315	37060	10497	1
2013.12.13	10:00:00	78323	78354	78121	78207	52860	13603	1
2013.12.13	11:00:00	78207	78494	78168	78292	80200	22780	1
2013.12.13	12:00:00	78292	78315	77842	77943	85070	24337	1
2013.12.13	13:00:00	77935	78082	77857	77966	61800	17237	1
2013.12.13	14:00:00	77974	78005	77710	77725	56070	15505	1
2013.12.13	15:00:00	77718	77857	77632	77749	54530	15615	1
2013.12.13	16:00:00	77756	77951	77656	77756	55200	15532	1
2013.12.13	17:00:00	77749	77788	77531	77578	39580	12661	1
2013.12.16	09:00:00	77865	78005	77694	77982	22100	6395	1
2013.12.16	10:00:00	77974	78028	77826	77881	50100	13221	1
2013.12.16	11:00:00	77881	78253	77842	78214	54940	15370	1
2013.12.16	12:00:00	78230	78517	78059	78416	96970	26008	1
2013.12.16	13:00:00	78408	78665	78354	78385	71210	20911	1
2013.12.16	14:00:00	78377	78470	78183	78300	60360	16520	1
2013.12.16	15:00:00	78300	78354	78183	78284	47420	12923	1
2013.12.16	16:00:00	78276	78276	78028	78075	70680	19899	1
2013.12.16	17:00:00	78082	78106	77888	77888	39610	13585	1
2013.12.17	09:00:00	77725	78028	77687	77989	25800	7378	1
2013.12.17	10:00:00	77989	78385	77982	78308	67300	18596	1
2013.12.17	11:00:00	78315	78517	78137	78300	88540	24292	1
2013.12.17	12:00:00	78308	78401	78036	78230	100880	25549	1
2013.12.17	13:00:00	78245	78339	77842	77850	84850	22005	1
2013.12.17	14:00:00	77842	78098	77819	77982	76290	20587	1
2013.12.17	15:00:00	77989	78137	77912	78098	54050	13592	1
2013.12.17	16:00:00	78090	78098	77702	77741	66160	19049	1
2013.12.17	17:00:00	77741	77989	77733	77989	42470	13441	1
2014.01.02	09:00:00	80041	80165	79856	80041	26650	6502	1
2014.01.02	10:00:00	80034	80118	79054	79170	81380	23687	1
2014.01.02	11:00:00	79185	79339	78915	78938	66030	16959	1
2014.01.02	12:00:00	78938	79239	78730	78853	102220	25380	1
2014.01.02	13:00:00	78838	78900	78614	78730	65920	16581	1
2014.01.02	14:00:00	78738	78768	78383	78421	56750	14863	1
2014.01.02	15:00:00	78429	78460	77858	78082	90230	24182	1
2014.01.02	16:00:00	78082	78259	77843	77928	73910	20723	1
2014.01.02	17:00:00	77928	78097	77719	77758	49120	15269	1
2014.01.03	09:00:00	77681	78167	77619	77935	22450	6533	1
2014.01.03	10:00:00	77943	78360	77943	78236	60480	15312	1
2014.01.03	11:00:00	78236	78645	78120	78599	70520	18163	1
2014.01.03	12:00:00	78599	78676	78313	78329	81780	19772	1
2014.01.03	13:00:00	78329	78529	78082	78298	88520	23341	1
2014.01.03	14:00:00	78298	78321	77997	78066	81950	22063	1
2014.01.03	15:00:00	78066	78591	77943	78414	84820	22229	1
2014.01.03	16:00:00	78421	78668	78352	78660	69130	19352	1
2014.01.03	17:00:00	78668	79586	78429	79586	97910	29096	1
2014.01.06	09:00:00	79038	79239	78714	79146	38070	11122	1
2014.01.06	10:00:00	79154	79162	78182	78398	95310	25816	1
2014.01.06	11:00:00	78390	79054	78375	78938	82260	20002	1
2014.01.06	12:00:00	78938	79015	78414	78645	102180	24096	1
2014.01.06	13:00:00	78630	78923	78506	78676	90020	21979	1
2014.01.06	14:00:00	78676	78992	78390	78660	106260	26371	1
2014.01.06	15:00:00	78660	78977	78583	78876	83520	21662	1
2014.01.06	16:00:00	78876	79239	78853	79185	108230	29574	1
2014.01.06	17:00:00	79193	79316	78846	78846	55840	16055	1
2014.01.07	09:00:00	79069	79617	78961	79154	33040	10092	1
2014.01.07	10:00:00	79154	79409	78915	79386	89010	23930	1
2014.01.07	11:00:00	79378	79895	79378	79810	97510	25625	1
2014.01.07	12:00:00	79810	79980	79139	79247	137880	37389	1
2014.01.07	13:00:00	79239	79285	78915	78954	72250	18819	1
2014.01.07	14:00:00	78954	78984	78375	78491	93470	23802	1
2014.01.07	15:00:00	78483	78583	78051	78398	98010	26022	1
2014.01.07	16:00:00	78398	78537	78159	78190	80960	23626	1
2014.01.07	17:00:00	78182	78275	78074	78090	55430	16968	1
2014.01.08	09:00:00	78113	78684	78105	78537	38080	10543	1
2014.01.08	10:00:00	78560	78630	78259	78483	79740	19529	1
2014.01.08	11:00:00	78483	78768	78414	78637	106000	27007	1
2014.01.08	12:00:00	78630	78822	78460	78514	106520	25174	1
2014.01.08	13:00:00	78514	78714	78344	78367	86730	21254	1
2014.01.08	14:00:00	78375	78475	78159	78406	73170	18304	1
2014.01.08	15:00:00	78414	78552	78267	78437	52200	13405	1
2014.01.08	16:00:00	78429	78668	78306	78498	69180	17733	1
2014.01.08	17:00:00	78491	78514	78066	78113	67650	19259	1
2014.01.09	09:00:00	78375	78421	78012	78097	39490	11456	1
2014.01.09	10:00:00	78120	78267	77827	77881	88390	21568	1
2014.01.09	11:00:00	77889	77912	77627	77766	73960	18465	1
2014.01.09	12:00:00	77773	77843	77318	77395	102640	25891	1
2014.01.09	13:00:00	77395	77488	76855	77010	109220	27640	1
2014.01.09	14:00:00	77010	77102	76763	76894	70310	17367	1
2014.01.09	15:00:00	76894	76956	76593	76678	75590	19212	1
2014.01.09	16:00:00	76686	76809	76362	76454	87060	22702	1
2014.01.09	17:00:00	76454	76601	76439	76524	56250	14869	1
2014.01.10	09:00:00	76971	77017	76022	76377	70430	20859	1
2014.01.10	10:00:00	76400	76871	76308	76624	92800	24913	1
2014.01.10	11:00:00	76616	77295	76446	76894	143590	39234	1
2014.01.10	12:00:00	76902	77742	76871	77565	122730	32308	1
2014.01.10	13:00:00	77573	77642	77048	77434	101970	25955	1
2014.01.10	14:00:00	77426	77519	76971	77102	83700	21242	1
2014.01.10	15:00:00	77102	77118	76755	76855	74290	18860	1
2014.01.10	16:00:00	76848	77071	76840	77010	48680	12010	1
2014.01.10	17:00:00	77002	77179	76894	77064	43220	12713	1
2014.01.13	09:00:00	76832	77002	76678	76871	22200	5971	1
2014.01.13	10:00:00	76855	77357	76832	77164	85390	22447	1
2014.01.13	11:00:00	77179	77550	77164	77403	71340	18013	1
2014.01.13	12:00:00	77395	77496	76817	76994	107110	27167	1
2014.01.13	13:00:00	76994	77156	76855	76925	62440	15351	1
2014.01.13	14:00:00	76917	76994	76716	76894	61650	14909	1
2014.01.13	15:00:00	76894	76902	76493	76539	44738	17865	1
2014.01.13	16:00:00	76539	76732	76400	76732	60	17723	1
2014.01.13	17:00:00	76724	76732	76408	76431	592631	9908	1
2014.01.14	09:00:00	76400	76570	76269	76346	27100	7215	1
2014.01.14	10:00:00	76331	76863	76200	76740	97880	26414	1
2014.01.14	11:00:00	76747	77017	76531	76601	92590	24442	1
